Tweet_count,Username,Text,Created At,Retweets,Likes
20,Elon Musk,@DonaldJTrumpJr Crazy,Tue Jul 30 19:03:07 +0000 2024,635,7776
21,Elon Musk,@TheCartelDel She should be cast in an action movie. No  acting required!,Tue Jul 30 13:12:09 +0000 2024,350,5075
22,Elon Musk,"@stillgray It is safe to say that he wouldn’t have tried to kill Trump, unless he had Trump Derangement Syndrome",Tue Jul 30 17:41:00 +0000 2024,381,2905
23,Elon Musk,@CollinRugg Yeah,Tue Jul 30 00:54:38 +0000 2024,406,11769
24,Elon Musk,"They should mix up the propaganda more. This is way too obvious. 

Just like when they were parroting before the debate that Biden was “sharp as a tack” 🤣",Tue Jul 30 00:44:34 +0000 2024,77291,334077
25,Elon Musk,@HSajwanization Dubai is winning,Tue Jul 30 18:02:14 +0000 2024,1278,4351
26,Elon Musk,"If the military supports the will of the people, it is over for Maduro",Tue Jul 30 00:00:13 +0000 2024,97407,476145
27,Elon Musk,@TrungTPhan Would be a banger,Tue Jul 30 17:41:42 +0000 2024,43,804
28,Elon Musk,@robbystarbuck Doesn’t sound super compatible with their customers,Tue Jul 30 00:21:37 +0000 2024,439,4376
29,Elon Musk,The people of Venezuela want change!,Tue Jul 30 00:35:53 +0000 2024,76573,372894
30,Elon Musk,@ShelleyGldschmt Interesting,Tue Jul 30 13:10:00 +0000 2024,61,1001
31,Elon Musk,@eldsjal Cool,Tue Jul 30 14:06:25 +0000 2024,28,599
32,Elon Musk,Moving up!,Tue Jul 30 17:59:48 +0000 2024,17309,210295
33,Elon Musk,@growing_daniel Would be cool to have a shooting world champion in an action movie,Tue Jul 30 13:14:47 +0000 2024,335,7474
34,Elon Musk,@EndWokeness The dominoes are falling,Mon Jul 29 23:27:58 +0000 2024,536,5040
35,Elon Musk,@TheRabbitHole84 More like all of Earth,Tue Jul 30 17:45:46 +0000 2024,131,1673
36,Elon Musk,It sure looks like the FBI leadership engaged in perjury …,Tue Jul 30 17:37:52 +0000 2024,46039,167134
37,Elon Musk,"@ZubyMusic If it continues to grow so rapidly, then de facto bankruptcy",Tue Jul 30 13:36:27 +0000 2024,255,3034
38,Elon Musk,@KanekoaTheGreat @mattgaetz @mtgreenee @RandPaul @RonJohnsonWI @BasedMikeLee Crooks for sure interacted with people before the attempted assassination. Question is who?,Tue Jul 30 17:58:26 +0000 2024,434,2529
39,Elon Musk,The dominoes continue to fall,Tue Jul 30 00:14:43 +0000 2024,84932,524631
40,Elon Musk,"@paulg @ValaAfshar Resilience probably does require adversity, but it would be cruel to apply that artificially",Tue Jul 30 14:09:28 +0000 2024,145,1898
41,Elon Musk,The people of Venezuela have had enough of this clown 🤡,Mon Jul 29 20:58:32 +0000 2024,157808,1096586
42,Elon Musk,@MrReaganUSA Yeah! 😂,Mon Jul 29 21:28:03 +0000 2024,156,5538
43,Elon Musk,New Model S Plaid quarter mile time!,Mon Jul 29 15:41:57 +0000 2024,4080,34684
44,Elon Musk,"@farzyness It takes considerable software effort to optimize the code enough to run on HW3. It also needs to be validated separately. 

Estimated rollout is about 10 days.",Mon Jul 29 16:44:08 +0000 2024,315,4214
45,Elon Musk,@chrispavlovski Yeah,Mon Jul 29 21:17:23 +0000 2024,99,1336
46,Elon Musk,@GuntherEagleman Child abuse,Mon Jul 29 15:32:54 +0000 2024,710,11774
47,Elon Musk,Making progress!,Mon Jul 29 16:04:22 +0000 2024,23048,294998
48,Elon Musk,"Wow, this is crazy!",Mon Jul 29 18:55:24 +0000 2024,93910,480164
49,Elon Musk,"FSD 12.5.1 starts wide release today. 

Please connect your Tesla to WiFi to receive the update.",Mon Jul 29 16:12:08 +0000 2024,4543,52418
50,Elon Musk,@ICannot_Enough Trend is good,Mon Jul 29 22:03:17 +0000 2024,94,2167
51,Elon Musk,@BehizyTweets Cool,Mon Jul 29 21:14:54 +0000 2024,82,1082
52,Elon Musk,@dinkin_flickaa It’s crazy,Mon Jul 29 21:00:37 +0000 2024,43,823
53,Elon Musk,@visegrad24 Intense,Mon Jul 29 22:59:47 +0000 2024,328,4082
54,Elon Musk,@UptownPeeeet @AsanteMZA @MarioNawfal Exactly,Mon Jul 29 23:26:45 +0000 2024,70,975
55,Elon Musk,@TheFigen_ That was cool,Mon Jul 29 21:28:34 +0000 2024,76,1737
56,Elon Musk,@MikeBenzCyber The trend is promising,Mon Jul 29 22:24:42 +0000 2024,147,2245
57,Elon Musk,Literally,Mon Jul 29 21:36:30 +0000 2024,15916,119104
58,Elon Musk,"@TheRabbitHole84 Tech is super skewed, but I didn’t realize until today how big the sheer scale of Alphabet (Google) donations are",Mon Jul 29 15:41:15 +0000 2024,808,7621
59,Elon Musk,@MartinShkreli @finkd Making progress,Mon Jul 29 20:50:26 +0000 2024,51,1181
60,Elon Musk,"As I was saying, they’re importing voters",Mon Jul 29 19:04:43 +0000 2024,62567,247936
61,Elon Musk,Cool,Mon Jul 29 14:07:13 +0000 2024,32786,399088
62,Elon Musk,"@RichardHanania If the Olympics had a category for cringe, this might win",Mon Jul 29 14:11:15 +0000 2024,145,2731
63,Elon Musk,@GavinNewsom Newsom should create an endowed 😉 chair at Univ of California for Prof Deeznuts,Mon Jul 29 14:29:29 +0000 2024,1614,13985
64,Elon Musk,@CollinRugg Next-level cringe,Mon Jul 29 13:35:10 +0000 2024,720,11692
65,Elon Musk,Facebook &amp; Instagram inflate their real user numbers by 400% https://t.co/Z8dVv7Hnmu,Mon Jul 29 14:32:49 +0000 2024,18455,103856
66,Elon Musk,@GailAlfarATX 12.5 is awesome,Mon Jul 29 15:07:25 +0000 2024,105,1573
67,Elon Musk,@Erdayastronaut @ulalaunch Weird,Mon Jul 29 14:20:22 +0000 2024,55,1458
68,Elon Musk,Absolutely,Mon Jul 29 14:34:38 +0000 2024,16631,66502
69,Elon Musk,They are importing voters,Mon Jul 29 14:33:43 +0000 2024,47080,216045
70,Elon Musk,Major election fraud by Maduro,Mon Jul 29 14:39:01 +0000 2024,103792,551000
71,Elon Musk,"@megynkelly Yeah, where’s Joe?",Mon Jul 29 14:24:33 +0000 2024,258,2206
72,Elon Musk,@Chesschick01 They are importing voters as fast as they possibly can,Mon Jul 29 05:49:27 +0000 2024,429,3016
73,Elon Musk,@GovRonDeSantis Great idea,Mon Jul 29 14:40:20 +0000 2024,387,6892
74,Elon Musk,@DefiantLs Definitely deserves an deserves an endowed 😉 chair,Mon Jul 29 14:25:39 +0000 2024,95,2035
75,Elon Musk,Probably just a coincidence that Alphabet (Google) employees were the top donors to Biden https://t.co/tIj0THeTVc,Mon Jul 29 14:22:39 +0000 2024,71392,311351
76,Elon Musk,I think the risk of this is very real,Mon Jul 29 05:22:07 +0000 2024,74173,380854
77,Elon Musk,"Thank goodness for common sense in the UK.

Now this should be applied in the US as soon as possible.",Mon Jul 29 14:03:22 +0000 2024,31459,238230
78,Elon Musk,What a travesty,Mon Jul 29 05:13:38 +0000 2024,25420,132663
79,Elon Musk,Britain has rightfully banned puberty blockers for children for the immense and permanent harm they do,Mon Jul 29 13:39:15 +0000 2024,38505,317107
80,Elon Musk,"@StephenKing Did you read even a summary of that bill? 

It was a wolf in sheep’s clothing that would have made things worse!",Mon Jul 29 14:06:24 +0000 2024,1173,13082
81,Elon Musk,"Wow, Google has a search ban on President Donald Trump! 

Election interference? https://t.co/dJzgVAAFZA",Mon Jul 29 03:34:09 +0000 2024,173747,1066671
82,Elon Musk,"@GavinNewsom I checked with renowned world authority, Professor Suggon Deeznutz, and he said parody is legal in America 🤷‍♂️",Mon Jul 29 04:13:22 +0000 2024,31908,193826
83,Elon Musk,@markpinc @Olympics Trump/Vance,Sun Jul 28 03:59:42 +0000 2024,366,2780
84,Elon Musk,@alx Trump demonstrated courage under fire,Sun Jul 28 00:23:03 +0000 2024,1541,11634
85,Elon Musk,Always pin your best posts!,Sun Jul 28 17:30:59 +0000 2024,5568,47570
86,Elon Musk,@LibertyCappy Yeah,Sun Jul 28 21:11:23 +0000 2024,61,1401
87,Elon Musk,@jgebbia Cool,Sun Jul 28 20:41:00 +0000 2024,27,577
88,Elon Musk,"@alex_avoigt Always important to watch the whole video. Trump is asking low propensity voters to go out and vote. 

Then he hopes to, but probably won’t succeed in, implementing voter ID laws nationwide. 

That would reduce, in his opinion, the amount of voter fraud to the point where low",Sun Jul 28 00:02:46 +0000 2024,4244,25231
89,Elon Musk,@alex_avoigt Accurate,Sun Jul 28 23:32:21 +0000 2024,91,1210
90,Elon Musk,@netcapgirl Sure is,Sun Jul 28 20:43:59 +0000 2024,35,878
91,Elon Musk,@tszzl Always,Sun Jul 28 15:01:02 +0000 2024,43,761
92,Elon Musk,@LibertyCappy Good. Leave them kids alone.,Sun Jul 28 01:04:27 +0000 2024,475,5815
93,Elon Musk,@WholeMarsBlog True,Sun Jul 28 20:38:13 +0000 2024,72,1434
94,Elon Musk,@DonaldJTrumpJr She is an extinctionist,Sat Jul 27 23:27:21 +0000 2024,1517,10439
95,Elon Musk,@SpeakerJohnson Great to see you too,Sun Jul 28 20:23:18 +0000 2024,149,3673
96,Elon Musk,@BasedBeffJezos Absolutely,Mon Jul 29 04:34:28 +0000 2024,67,1098
97,Elon Musk,Judge Dredd would drive a Cybertruck,Sun Jul 28 00:25:11 +0000 2024,7977,149996
98,Elon Musk,"@TheFigen_ Strange sport, but impressive indeed",Mon Jul 29 04:51:51 +0000 2024,87,2030
99,Elon Musk,Fast flame in slow motion,Sat Jul 27 23:15:09 +0000 2024,7299,63797
100,Elon Musk,16 years ago,Sun Jul 28 14:29:30 +0000 2024,11878,126272
